run_accession	fastq_ftp
SRR2138774	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2138774/SRR2138774.fastq.gz
SRR2138782	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2138782/SRR2138782.fastq.gz
SRR2138783	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2138783/SRR2138783.fastq.gz
SRR2138784	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2138784/SRR2138784.fastq.gz
SRR2138785	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2138785/SRR2138785.fastq.gz
SRR2138786	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2138786/SRR2138786.fastq.gz
SRR2138790	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2138790/SRR2138790.fastq.gz
SRR2138791	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/001/SRR2138791/SRR2138791.fastq.gz
SRR2138797	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2138797/SRR2138797.fastq.gz
SRR2138800	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2138800/SRR2138800.fastq.gz
SRR2138801	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/001/SRR2138801/SRR2138801.fastq.gz
SRR2138807	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2138807/SRR2138807.fastq.gz
SRR2138812	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2138812/SRR2138812.fastq.gz
SRR2138827	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2138827/SRR2138827.fastq.gz
SRR2138829	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2138829/SRR2138829.fastq.gz
SRR2138830	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2138830/SRR2138830.fastq.gz
SRR2138834	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2138834/SRR2138834.fastq.gz
SRR2138837	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2138837/SRR2138837.fastq.gz
SRR2138838	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/008/SRR2138838/SRR2138838.fastq.gz
SRR2138839	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2138839/SRR2138839.fastq.gz
SRR2138840	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2138840/SRR2138840.fastq.gz
SRR2138849	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2138849/SRR2138849.fastq.gz
SRR2138852	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2138852/SRR2138852.fastq.gz
SRR2138853	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2138853/SRR2138853.fastq.gz
SRR2138855	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2138855/SRR2138855.fastq.gz
SRR2138858	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/008/SRR2138858/SRR2138858.fastq.gz
SRR2138866	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2138866/SRR2138866.fastq.gz
SRR2138867	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2138867/SRR2138867.fastq.gz
SRR2138869	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2138869/SRR2138869.fastq.gz
SRR2138870	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2138870/SRR2138870.fastq.gz
SRR2138882	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2138882/SRR2138882.fastq.gz
SRR2138885	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2138885/SRR2138885.fastq.gz
SRR2138886	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2138886/SRR2138886.fastq.gz
SRR2138887	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2138887/SRR2138887.fastq.gz
SRR2138890	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2138890/SRR2138890.fastq.gz
SRR2138893	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2138893/SRR2138893.fastq.gz
SRR2138899	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2138899/SRR2138899.fastq.gz
SRR2138901	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/001/SRR2138901/SRR2138901.fastq.gz
SRR2138903	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2138903/SRR2138903.fastq.gz
SRR2138905	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2138905/SRR2138905.fastq.gz
SRR2138910	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2138910/SRR2138910.fastq.gz
SRR2138911	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/001/SRR2138911/SRR2138911.fastq.gz
SRR2138912	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2138912/SRR2138912.fastq.gz
SRR2138914	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2138914/SRR2138914.fastq.gz
SRR2138916	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2138916/SRR2138916.fastq.gz
SRR2138918	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/008/SRR2138918/SRR2138918.fastq.gz
SRR2138919	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2138919/SRR2138919.fastq.gz
SRR2138920	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2138920/SRR2138920.fastq.gz
SRR2138921	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/001/SRR2138921/SRR2138921.fastq.gz
SRR2138922	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2138922/SRR2138922.fastq.gz
SRR2138924	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2138924/SRR2138924.fastq.gz
SRR2138926	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2138926/SRR2138926.fastq.gz
SRR2138927	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2138927/SRR2138927.fastq.gz
SRR2138932	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2138932/SRR2138932.fastq.gz
SRR2138939	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2138939/SRR2138939.fastq.gz
SRR2138940	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2138940/SRR2138940.fastq.gz
SRR2138952	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2138952/SRR2138952.fastq.gz
SRR2138959	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2138959/SRR2138959.fastq.gz
SRR2138963	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2138963/SRR2138963.fastq.gz
SRR2138967	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2138967/SRR2138967.fastq.gz
SRR2138971	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/001/SRR2138971/SRR2138971.fastq.gz
SRR2138972	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/002/SRR2138972/SRR2138972.fastq.gz
SRR2138976	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/006/SRR2138976/SRR2138976.fastq.gz
SRR2138977	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2138977/SRR2138977.fastq.gz
SRR2138979	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2138979/SRR2138979.fastq.gz
SRR2138980	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/000/SRR2138980/SRR2138980.fastq.gz
SRR2138984	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2138984/SRR2138984.fastq.gz
SRR2138985	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2138985/SRR2138985.fastq.gz
SRR2138987	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/007/SRR2138987/SRR2138987.fastq.gz
SRR2138989	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/009/SRR2138989/SRR2138989.fastq.gz
SRR2138993	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/003/SRR2138993/SRR2138993.fastq.gz
SRR2138995	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/005/SRR2138995/SRR2138995.fastq.gz
SRR2139004	ftp.sra.ebi.ac.uk/vol1/fastq/SRR213/004/SRR2139004/SRR2139004.fastq.gz
